ProductID,ProductName,Category,UnitPrice,StockQtyUnits,Supplier
2000,Electronics-Be,Electronics,969.31,478,Acme
2001,Electronics-Be,Clothing,412.35,176,Globex
2002,Office-Family,Clothing,866.0,295,InHouse
2003,Electronics-Training,Clothing,385.18,153,Acme
2004,Office-Where,Home,927.25,24,Globex
2005,Office-Huge,Home,428.78,119,InHouse
2007,Clothing-Over,Electronics,583.39,170,Globex
2008,Electronics-Skin,Home,66.59,237,InHouse
2009,Office-Raise,Clothing,66.31,409,Acme
2010,Electronics-Themselves,Clothing,77.84,167,Globex
2011,Electronics-Religious,Clothing,409.74,433,InHouse
2012,Clothing-Artist,Electronics,623.19,489,Acme
2014,Clothing-Eat,Home,246.3,73,InHouse
2015,Office-Itself,Clothing,674.97,439,Acme
2016,Home-He,Office,323.02,288,Globex
2017,Electronics-Feeling,Electronics,463.7,374,InHouse
2018,Electronics-Nature,Electronics,542.26,19,Acme
2019,Home-History,Clothing,933.93,98,Globex
2020,Electronics-Share,Clothing,375.83,291,InHouse
2021,Clothing-Skill,Office,835.41,70,Acme
2022,Home-Economy,Electronics,671.18,196,Globex
2023,Home-Yeah,Electronics,939.54,2,InHouse
2024,Clothing-Paper,Home,124.27,278,Acme
2025,Electronics-Assume,Clothing,279.62,448,Globex
2026,Clothing-Use,Home,211.56,130,InHouse
2027,Home-Purpose,Office,258.61,424,Acme
2028,Electronics-Take,Electronics,637.94,231,Globex
2029,Home-Yourself,Electronics,13.51,442,InHouse
2030,Clothing-First,Home,169.97,307,Acme
2031,Office-Develop,Office,565.3,30,Globex
2032,Electronics-There,Electronics,945.6,370,InHouse
2033,Clothing-Argue,Electronics,836.25,233,Acme
2034,Clothing-Feel,Office,136.17,442,Globex
2035,Home-According,Home,899.99,25,InHouse
2036,Electronics-Candidate,Home,217.98,158,Acme
2037,Clothing-Meeting,Electronics,360.14,450,Globex
2038,Office-Soon,Clothing,926.51,288,InHouse
2039,Clothing-Need,Clothing,976.44,33,Acme
2040,Clothing-Determine,Office,34.54,291,Globex
2041,Home-Assume,Office,804.21,218,InHouse
2042,Clothing-Lawyer,Home,167.61,237,Acme
2043,Electronics-Practice,Office,873.45,64,Globex
2044,Office-Society,Clothing,207.58,393,InHouse
2045,Office-Next,Home,312.14,76,Acme
2046,Clothing-Worry,Clothing,33.43,2,Globex
2047,Clothing-Hair,Office,334.98,113,InHouse
2048,Electronics-Candidate,Home,357.63,165,Acme
2049,Office-Easy,Home,939.84,167,Globex
2050,Electronics-Young,Home,186.78,41,InHouse
2051,Home-Century,Electronics,117.32,329,Acme
2052,Office-Year,Home,731.26,38,Globex
2053,Home-Ground,Office,610.15,53,InHouse
2054,Electronics-Above,Office,900.51,394,Acme
2055,Clothing-Politics,Home,53.94,40,Globex
2056,Office-About,Electronics,524.72,260,InHouse
2057,Clothing-Identify,Home,436.98,90,Acme
2058,Home-Wear,Home,666.75,447,Globex
2059,Electronics-Clear,Home,512.05,177,InHouse
2060,Office-Term,Home,408.38,145,Acme
2061,Home-Quite,Clothing,199.92,70,Globex
2062,Office-Receive,Clothing,619.36,26,InHouse
2063,Home-Good,Office,552.46,88,Acme
2064,Electronics-Stop,Home,294.04,489,Globex
2065,Office-Animal,Home,470.34,119,InHouse
2066,Office-Occur,Clothing,516.06,298,Acme
2067,Clothing-Remain,Electronics,290.95,217,Globex
2068,Home-Read,Electronics,820.24,464,InHouse
2069,Clothing-Garden,Home,232.39,71,Acme
2070,Clothing-About,Clothing,34.18,31,Globex
2071,Clothing-Success,Office,615.16,190,InHouse
2072,Electronics-Become,Office,420.3,453,Acme
2073,Clothing-Executive,Office,499.43,3,Globex
2074,Clothing-Strong,Clothing,659.5,224,InHouse
2075,Electronics-Letter,Electronics,780.64,113,Acme
2076,Clothing-Affect,Clothing,806.07,254,Globex
2077,Office-Ball,Electronics,561.83,166,InHouse
2078,Electronics-Film,Office,142.01,379,Acme
2079,Office-Who,Home,950.54,482,Globex
2080,Office-Doctor,Office,832.26,443,InHouse
2081,Office-Light,Clothing,746.22,320,Acme
2082,Office-Figure,Office,266.6,329,Globex
2083,Clothing-Cut,Home,768.16,260,InHouse
2084,Office-Stuff,Clothing,281.85,187,Acme
2085,Electronics-Officer,Home,242.15,23,Globex
2086,Home-Of,Home,894.1,181,InHouse
2087,Electronics-Rather,Clothing,159.32,182,Acme
2088,Office-Evening,Clothing,709.35,202,Globex
2089,Electronics-Action,Office,413.52,143,InHouse
2090,Office-Staff,Office,71.64,85,Acme
2091,Office-Mrs,Office,905.79,128,Globex
2092,Electronics-Add,Office,482.21,64,InHouse
2093,Home-Real,Home,755.94,497,Acme
2094,Office-Fight,Clothing,493.35,471,Globex
2095,Home-Seem,Office,490.79,153,InHouse
2096,Office-Discuss,Home,672.18,73,Acme
2097,Office-Recent,Clothing,842.1,114,Globex
2098,Clothing-Trouble,Electronics,907.86,97,InHouse
2099,Electronics-Several,Electronics,646.32,21,Acme
