TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPct,PaymentType
1,2025-05-04,1034,2059,402,0.0,2048.2,23,Cash
2,2025-05-04,1066,2048,403,1.0,321.87,38,Card
3,2025-05-04,1116,2041,403,3.0,3216.84,25,EBT
4,2025-05-04,1071,2096,404,2.0,1613.23,16,GiftCard
5,2025-05-04,1020,2060,401,0.0,408.38,40,Cash
7,2025-05-04,1193,2003,402,1.0,346.66,11,EBT
9,2025-05-04,1032,2060,401,1.0,735.08,20,Cash
10,2025-05-04,1119,2089,403,2.0,661.63,24,Card
11,2025-05-04,1042,2077,401,,505.65,6,EBT
15,2025-05-04,1026,2089,403,0.0,413.52,22,EBT
16,2025-05-04,1144,2005,403,3.0,1715.12,23,GiftCard
17,2025-05-04,1169,2047,401,2.0,535.97,4,Cash
19,2025-05-04,1110,2046,404,1.0,30.09,34,EBT
20,2025-05-04,1111,2022,403,3.0,671.18,8,GiftCard
22,2025-05-04,1062,2011,403,3.0,1229.22,32,Card
23,2025-05-04,1062,2096,404,3.0,672.18,36,EBT
24,2025-05-04,1086,2003,404,2.0,924.43,33,GiftCard
25,2025-05-04,1046,2062,402,2.0,1981.95,7,Cash
26,2025-05-04,1066,2043,403,2.0,698.76,16,Card
27,2025-05-04,1142,2001,402,0.0,1237.05,21,EBT
28,2025-05-04,1061,2092,404,3.0,482.21,12,GiftCard
34,2025-05-04,1141,2067,403,3.0,872.85,8,Card
35,2025-05-04,1190,2070,403,2.0,54.69,32,EBT
36,2025-05-04,1179,2058,403,2.0,1066.8,22,GiftCard
37,2025-05-04,1064,2029,401,1.0,12.16,7,Cash
38,2025-05-04,1080,2015,402,1.0,3037.36,20,Card
39,2025-05-04,1055,2094,404,2.0,1578.72,11,EBT
41,2025-05-04,9999,2037,402,2.0,288.11,39,Cash
42,2025-05-04,1045,2038,401,1.0,1667.72,9,Card
43,2025-05-04,1070,2005,401,2.0,686.05,2,EBT
45,2025-05-04,1003,2073,403,3.0,1498.29,4,Cash
46,2025-05-04,1122,2056,403,1.0,944.5,26,Card
47,2025-05-04,1013,2032,404,0.0,2836.8,17,EBT
48,2025-05-04,1016,2051,404,0.0,117.32,33,GiftCard
50,2025-05-04,1038,2072,403,0.0,840.6,10,Card
51,2025-05-04,1063,2015,404,1.0,1214.95,9,EBT
52,2025-05-04,1198,2066,404,3.0,516.06,40,GiftCard
53,2025-05-04,1113,2038,404,2.0,2223.62,19,Cash
54,2025-05-04,1145,2079,401,0.0,1901.08,36,Card
55,2025-05-04,1195,2026,402,2.0,507.74,1,EBT
56,2025-05-04,1169,2010,402,1.0,140.11,38,GiftCard
58,2025-05-04,1000,2052,404,3.0,2193.78,6,Card
59,2025-05-04,1074,2004,402,2.0,741.8,24,EBT
60,2025-05-04,1180,2036,404,0.0,217.98,39,GiftCard
61,2025-05-04,1175,2029,403,1.0,36.48,18,Cash
62,2025-05-04,1108,2014,402,1.0,221.67,26,Card
63,2025-05-04,1068,2018,401,0.0,2169.04,7,EBT
64,2025-05-04,1042,2039,403,3.0,2929.32,20,GiftCard
66,2025-05-04,1069,2064,404,3.0,1470.2,31,Card
68,2025-05-04,1188,2041,403,0.0,1608.42,27,GiftCard
71,2025-05-04,1132,2083,404,2.0,614.53,36,EBT
72,2025-05-04,1046,2074,404,3.0,659.5,9,GiftCard
73,2025-05-04,1023,2060,403,3.0,1225.14,26,Cash
74,2025-05-04,1085,2041,401,1.0,1447.58,3,Card
75,2025-05-04,1084,2052,404,2.0,2925.04,35,EBT
76,2025-05-04,1169,2051,401,3.0,117.32,36,GiftCard
77,2025-05-04,1022,2040,403,2.0,55.26,0,Cash
79,2025-05-04,1168,2069,404,3.0,232.39,1,EBT
80,2025-05-04,1013,2024,403,3.0,372.81,28,GiftCard
81,2025-05-04,1160,2056,401,1.0,472.25,13,Cash
82,2025-05-04,1068,2070,402,2.0,109.38,21,Card
83,2025-05-04,1112,2089,404,0.0,2067.6,0,EBT
84,2025-05-04,1007,2080,402,1.0,1498.07,39,GiftCard
85,2025-05-04,1079,2070,401,3.0,34.18,1,Cash
86,2025-05-04,1023,2028,401,3.0,2551.76,33,Card
87,2025-05-04,1030,2082,402,3.0,799.8,11,EBT
88,2025-05-04,1183,2037,403,3.0,2160.84,17,GiftCard
89,2025-05-04,1123,2060,402,3.0,2450.28,5,Cash
90,2025-05-04,1141,2018,404,1.0,2440.17,3,Card
91,2025-05-04,1153,2065,402,0.0,470.34,15,EBT
93,2025-05-04,1129,2034,401,2.0,108.94,39,Cash
94,2025-05-04,1185,2038,404,1.0,1667.72,10,Card
95,2025-05-04,1114,2068,404,2.0,656.19,2,EBT
97,2025-05-04,1082,2024,402,3.0,372.81,39,Cash
