TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPct,PaymentType
1,5/4/2025,1034,2059,402,0,2048.2,23,Cash
2,5/4/2025,1066,2048,403,1,321.87,38,Card
3,5/4/2025,1116,2041,403,3,3216.84,25,EBT
4,5/4/2025,1071,2096,404,2,1613.23,16,Gift Card
5,5/4/2025,1020,2060,401,0,408.38,40,Cash
6,5/4/2025,1089,2028,401,0,1275.88,-5,Card
7,5/4/2025,1193,2003,402,1,346.66,11,EBT
8,5/4/2025,1005,2079,402,1,855.49,29,
9,5/4/2025,1032,2060,401,1,735.08,20,Cash
10,5/4/2025,1119,2089,403,2,661.63,24,Card
11,5/4/2025,1042,2077,401,,505.65,6,EBT
12,5/4/2025,1079,2013,401,2,0,26,Gift Card
13,5/4/2025,1147,2086,404,3,4470.5,39,Cash
14,5/4/2025,1183,2025,401,1,503.32,150,Card
15,5/4/2025,1026,2089,403,0,413.52,22,EBT
16,5/4/2025,1144,2005,403,3,1715.12,23,Gift Card
17,5/4/2025,1169,2047,401,2,535.97,4,Cash
18,5/4/2025,1003,2053,404,0,3660.9,34,Card
19,5/4/2025,1110,2046,404,1,30.09,34,EBT
20,5/4/2025,1111,2022,403,3,671.18,8,Gift Card
21,5/4/2025,1119,2055,403,2,?,40,Cash
22,5/4/2025,1062,2011,403,3,1229.22,32,Card
23,5/4/2025,1062,2096,404,3,672.18,36,EBT
24,5/4/2025,1086,2003,404,2,924.43,33,Gift Card
25,5/4/2025,1046,2062,402,2,1981.95,7,Cash
26,5/4/2025,1066,2043,403,2,698.76,16,Card
27,5/4/2025,1142,2001,402,0,1237.05,21,EBT
28,5/4/2025,1061,2092,404,3,482.21,12,Gift Card
29,5/4/2025,1142,2097,402,3,4210.5,32,Cash
30,5/4/2025,1165,2091,404,3,4528.95,33,Card
31,2023-13-01,1004,2011,403,1,737.53,27,EBT
32,5/4/2025,1103,2088,402,2,0,22,Gift Card
33,5/4/2025,1169,2074,403,3,0,0,Cash
34,5/4/2025,1141,2067,403,3,872.85,8,Card
35,5/4/2025,1190,2070,403,2,54.69,32,EBT
36,5/4/2025,1179,2058,403,2,1066.8,22,Gift Card
37,5/4/2025,1064,2029,401,1,12.16,7,Cash
38,5/4/2025,1080,2015,402,1,3037.36,20,Card
39,5/4/2025,1055,2094,404,2,1578.72,11,EBT
40,5/4/2025,1185,2075,403,0,0,11,Gift Card
41,5/4/2025,9999,2037,402,2,288.11,39,Cash
42,5/4/2025,1045,2038,401,1,1667.72,9,Card
43,5/4/2025,1070,2005,401,2,686.05,2,EBT
44,5/4/2025,1178,2016,404,0,0,29,Gift Card
45,5/4/2025,1003,2073,403,3,1498.29,4,Cash
46,5/4/2025,1122,2056,403,1,944.5,26,Card
47,5/4/2025,1013,2032,404,0,2836.8,17,EBT
48,5/4/2025,1016,2051,404,0,117.32,33,Gift Card
49,5/4/2025,1147,2080,401,1,0,33,Cash
50,5/4/2025,1038,2072,403,0,840.6,10,Card
51,5/4/2025,1063,2015,404,1,1214.95,9,EBT
52,5/4/2025,1198,2066,404,3,516.06,40,Gift Card
53,5/4/2025,1113,2038,404,2,2223.62,19,Cash
54,5/4/2025,1145,2079,401,0,1901.08,36,Card
55,5/4/2025,1195,2026,402,2,507.74,1,EBT
56,5/4/2025,1169,2010,402,1,140.11,38,Gift Card
57,5/4/2025,1044,2070,401,1,0,6,Cash
58,5/4/2025,1000,2052,404,3,2193.78,6,Card
59,5/4/2025,1074,2004,402,2,741.8,24,EBT
60,5/4/2025,1180,2036,404,0,217.98,39,Gift Card
61,5/4/2025,1175,2029,403,1,36.48,18,Cash
62,5/4/2025,1108,2014,402,1,221.67,26,Card
63,5/4/2025,1068,2018,401,0,2169.04,7,EBT
64,5/4/2025,1042,2039,403,3,2929.32,20,Gift Card
65,5/4/2025,1031,2059,403,3,0,40,Cash
66,5/4/2025,1069,2064,404,3,1470.2,31,Card
